ProductKey,SKU,ProductName,SubcategoryKey,BrandKey,SupplierKey,ABCClass,LifecycleStage,ListPriceUSD,StandardUnitCostUSD,LaunchDate,EndOfLifeDate
1,SKU-0001,Apple AirPods Pro 2 (USB-C),3,4,3,A,Mature,249.0,104.35,2024-06-01,
2,SKU-0002,Apple AirPods 4,3,4,10,B,Mature,129.0,54.86,2024-06-01,
3,SKU-0003,Samsung Galaxy Buds2 Pro,3,29,7,B,Mature,229.0,108.88,2024-06-01,
4,SKU-0004,Samsung Galaxy Buds FE,3,29,3,C,Mature,99.0,56.82,2024-06-01,
5,SKU-0005,Sony WF-1000XM5,3,31,7,B,Mature,299.0,151.68,2024-06-01,
6,SKU-0006,Sony LinkBuds S,3,31,6,C,New,199.0,113.02,2025-01-01,
7,SKU-0007,Anker Soundcore Liberty 4 NC,3,3,10,C,Mature,99.0,53.93,2024-06-01,
8,SKU-0008,Anker Soundcore P40i,3,3,3,A,Mature,59.0,28.56,2024-06-01,
9,SKU-0009,JBL Tune Flex,3,20,10,A,Mature,99.0,53.58,2024-06-01,
10,SKU-0010,JBL Live Pro 2,3,20,10,B,Mature,149.0,60.08,2024-06-01,
11,SKU-0011,Bose QuietComfort Ultra Earbuds,3,10,2,C,Mature,299.0,125.47,2024-06-01,
12,SKU-0012,Jabra Elite 8 Active,3,21,2,C,Mature,199.0,109.31,2024-06-01,
13,SKU-0013,JBL Flip 6,1,20,6,C,Mature,129.0,70.1,2024-06-01,
14,SKU-0014,JBL Charge 5,1,20,1,A,Mature,179.0,79.1,2024-06-01,
15,SKU-0015,JBL Clip 5,1,20,3,B,Mature,79.0,39.15,2024-06-01,
16,SKU-0016,Bose SoundLink Flex,1,10,5,C,New,149.0,75.85,2025-01-01,
17,SKU-0017,Bose SoundLink Micro,1,10,10,C,Mature,119.0,66.19,2024-06-01,
18,SKU-0018,Sonos Roam 2,1,30,10,B,Mature,179.0,91.03,2024-06-01,
19,SKU-0019,Sonos Move 2,1,30,2,C,Mature,449.0,212.94,2024-06-01,
20,SKU-0020,Anker Soundcore Motion 300,1,3,9,C,Mature,79.0,36.92,2024-06-01,
21,SKU-0021,Anker Soundcore Boom 2,1,3,1,C,Mature,129.0,61.49,2024-06-01,
22,SKU-0022,Sony SRS-XB100,1,31,8,B,Mature,59.0,30.52,2024-06-01,
23,SKU-0023,Sony ULT Field 1,1,31,9,A,Mature,129.0,71.74,2024-06-01,
24,SKU-0024,Ultimate Ears Wonderboom 4,1,35,9,C,Mature,99.0,47.69,2024-06-01,
