product_key,sku,product_name,category,subcategory,brand,abc_class,standard_unit_cost,list_price,supplier_key
1,SKU-0001,Vanguard Heavy-Duty Carton 20x20x20in,Packaging,Cartons,Vanguard,B,7.17,9.63,10
2,SKU-0002,Sterling Nestable Pallet 1200x800mm,Packaging,Pallets,Sterling,B,45.71,70.02,2
3,SKU-0003,Sterling Gate Valve 3/4in,Hydraulics,Valves,Sterling,B,46.04,76.05,2
4,SKU-0004,Vanguard Vented Safety Helmet Ratchet,Safety,Helmets,Vanguard,B,100.21,173.65,4
5,SKU-0005,Sterling Cut-Resistant Gloves Box 100 (M),Safety,Gloves,Sterling,C,18.49,25.33,8
6,SKU-0006,Vanguard Poly Sheeting 30in 2000ft,Packaging,Film,Vanguard,C,94.13,143.58,6
7,SKU-0007,Sterling Flange Bolt M12 x 80mm,Fasteners,Bolts,Sterling,A,80.87,123.95,1
8,SKU-0008,Vanguard Nestable Pallet 42x42in,Packaging,Pallets,Vanguard,C,67.99,97.39,1
9,SKU-0009,Titan Coaxial Cable 16 AWG 500ft,Electrical,Cabling,Titan,B,80.33,141.54,9
10,SKU-0010,Meridian Drop-In Anchor 3/8in x 3in,Fasteners,Anchors,Meridian,B,80.11,126.91,8
11,SKU-0011,Meridian Full Brim Hard Hat Class G Blue,Safety,Helmets,Meridian,B,98.05,132.39,2
12,SKU-0012,Vanguard Sleeve Anchor 1/2in x 4in,Fasteners,Anchors,Vanguard,B,21.03,32.61,2
13,SKU-0013,Vanguard Gasket Set Assorted 200pc,Hydraulics,Seals,Vanguard,B,75.14,107.52,7
14,SKU-0014,Titan Rocker Switch 20A,Electrical,Switches,Titan,A,184.81,331.76,7
15,SKU-0015,Vanguard Brass Ball Valve 3000 psi,Hydraulics,Valves,Vanguard,C,150.23,252.41,8
16,SKU-0016,Titan Terminal Block 20A,Electrical,Connectors,Titan,C,89.25,122.4,4
17,SKU-0017,Atlas Full Brim Hard Hat Class E,Safety,Helmets,Atlas,A,103.08,175.76,7
18,SKU-0018,Vanguard Brass Ball Valve 1in,Hydraulics,Valves,Vanguard,C,125.89,163.74,5
19,SKU-0019,Vanguard Corrugated Box 20x20x20in,Packaging,Cartons,Vanguard,B,40.92,54.7,2
20,SKU-0020,Titan Hydraulic Rod Seal Assorted 200pc,Hydraulics,Seals,Titan,C,112.9,164.62,6
21,SKU-0021,Titan RJ45 Connector 12-pos,Electrical,Connectors,Titan,C,94.26,162.09,3
22,SKU-0022,Atlas Hydraulic Rod Seal PTFE 25pc,Hydraulics,Seals,Atlas,C,111.14,170.5,3
23,SKU-0023,Meridian Cut-Resistant Gloves Pair (L),Safety,Gloves,Meridian,C,53.79,67.94,1
24,SKU-0024,Titan Vented Safety Helmet Class G Blue,Safety,Helmets,Titan,C,14.81,24.49,3
